Date,Open,High,Low,Close,Adj Close,Volume
2008-06-11,3425.0,3525.0,3100.0,3425.0,1998.0006103515625,217998500
2008-06-12,3475.0,3475.0,3375.0,3475.0,2027.1683349609375,53833000
2008-06-13,3450.0,3500.0,3375.0,3400.0,1983.4166259765625,26971500
2008-06-16,3375.0,3450.0,3350.0,3375.0,1968.8326416015625,19369500
2008-06-17,3300.0,3375.0,3275.0,3300.0,1925.080810546875,32060000
2008-06-18,3300.0,3300.0,3225.0,3300.0,1925.080810546875,19681500
2008-06-19,3275.0,3275.0,3225.0,3275.0,1910.49658203125,5733500
2008-06-20,3225.0,3250.0,3175.0,3225.0,1881.3289794921875,9483000
2008-06-23,3225.0,3475.0,3100.0,3450.0,2012.58447265625,28732000
2008-06-24,3500.0,3600.0,3450.0,3500.0,2041.752197265625,37179000
2008-06-25,3400.0,3500.0,3350.0,3400.0,1983.4166259765625,7014000
2008-06-26,3350.0,3425.0,3300.0,3350.0,1954.2486572265625,5492000
2008-06-27,3275.0,3325.0,3225.0,3275.0,1910.49658203125,6441000
2008-06-30,3275.0,3350.0,3200.0,3275.0,1910.49658203125,8888500
2008-07-01,3275.0,3575.0,3275.0,3575.0,2085.504150390625,46992500
2008-07-02,3475.0,3600.0,3450.0,3475.0,2027.1683349609375,20746000
2008-07-03,3275.0,3400.0,3225.0,3275.0,1910.49658203125,17584000
2008-07-04,3325.0,3375.0,3275.0,3325.0,1939.6650390625,7496500
2008-07-07,3425.0,3525.0,3350.0,3425.0,1998.0006103515625,15296000
2008-07-08,3300.0,3425.0,3225.0,3300.0,1925.080810546875,16816000
2008-07-09,3200.0,3350.0,3150.0,3200.0,1866.7447509765625,21782500
2008-07-10,3075.0,3175.0,3000.0,3075.0,1793.8253173828125,41072000
2008-07-11,3125.0,3125.0,3025.0,3125.0,1822.992919921875,4752000
2008-07-14,3100.0,3200.0,3050.0,3100.0,1808.4090576171875,8312500
2008-07-15,3125.0,3125.0,3025.0,3125.0,1822.992919921875,18245500
2008-07-16,3050.0,3125.0,2900.0,3050.0,1779.2410888671875,17286000
2008-07-17,2925.0,3025.0,2900.0,2925.0,1706.3216552734375,28262500
2008-07-18,2800.0,2925.0,2675.0,2800.0,1633.40185546875,21236500
2008-07-21,2850.0,2950.0,2800.0,2850.0,1662.5697021484375,21261000
2008-07-22,2825.0,2875.0,2750.0,2825.0,1647.98583984375,14666000
2008-07-23,2775.0,2825.0,2750.0,2775.0,1618.8177490234375,5142000
2008-07-24,2825.0,2825.0,2700.0,2825.0,1647.98583984375,33002000
2008-07-25,2700.0,2950.0,2700.0,2875.0,1677.1536865234375,16881500
2008-07-28,2950.0,3125.0,2875.0,3100.0,1808.4090576171875,26913500
2008-07-29,3100.0,3100.0,2950.0,3100.0,1808.4090576171875,33686500
2008-07-31,3150.0,3150.0,3050.0,3150.0,1837.5771484375,28837000
2008-08-01,3075.0,3100.0,3000.0,3075.0,1793.8253173828125,6558500
2008-08-04,3000.0,3025.0,2925.0,3000.0,1750.0733642578125,10343000
2008-08-05,2900.0,2900.0,2800.0,2900.0,1691.73779296875,10302000
2008-08-06,2875.0,2950.0,2825.0,2875.0,1677.1536865234375,15667500
2008-08-07,2875.0,2925.0,2825.0,2875.0,1677.1536865234375,20643500
2008-08-08,2900.0,2925.0,2825.0,2900.0,1691.73779296875,14138000
2008-08-11,2850.0,2850.0,2500.0,2550.0,1487.5626220703125,24900000
2008-08-12,2375.0,2575.0,2375.0,2375.0,1385.474853515625,13089500
2008-08-13,2450.0,2450.0,2350.0,2450.0,1429.2265625,4229500
2008-08-14,2625.0,2625.0,2500.0,2625.0,1531.3143310546875,10680000
2008-08-15,2525.0,2600.0,2450.0,2525.0,1472.978271484375,6752000
2008-08-19,2525.0,2525.0,2450.0,2525.0,1472.978271484375,2926500
2008-08-20,2650.0,2650.0,2525.0,2650.0,1545.898193359375,8170500
2008-08-21,2725.0,2725.0,2625.0,2725.0,1589.650146484375,12336500
2008-08-22,2775.0,2850.0,2700.0,2775.0,1618.8177490234375,21122000
2008-08-25,2675.0,2800.0,2650.0,2675.0,1560.4820556640625,7065500
2008-08-26,2675.0,2675.0,2625.0,2675.0,1560.4820556640625,8137500
2008-08-27,2725.0,2750.0,2675.0,2725.0,1589.650146484375,6746500
2008-08-28,2750.0,2775.0,2725.0,2750.0,1604.2340087890625,7612000
2008-08-29,2825.0,2825.0,2725.0,2825.0,1647.98583984375,9202000
2008-09-01,2825.0,2850.0,2750.0,2825.0,1647.98583984375,5412500
2008-09-02,2775.0,2775.0,2700.0,2775.0,1618.8177490234375,5421500
2008-09-03,2750.0,2750.0,2700.0,2750.0,1604.2340087890625,5075000
2008-09-04,2625.0,2725.0,2575.0,2625.0,1531.3143310546875,9726000
2008-09-05,2475.0,2575.0,2425.0,2475.0,1443.810546875,13639500
2008-09-08,2475.0,2550.0,2450.0,2475.0,1443.810546875,3522500
2008-09-09,2400.0,2450.0,2325.0,2400.0,1400.0587158203125,7488000
2008-09-10,2325.0,2325.0,2175.0,2200.0,1283.38720703125,5699000
2008-09-11,2200.0,2225.0,2150.0,2200.0,1283.38720703125,6675000
2008-09-12,2125.0,2250.0,2075.0,2125.0,1239.6353759765625,4927500
2008-09-15,2050.0,2125.0,1975.0,2050.0,1195.883544921875,5871000
2008-09-16,1950.0,2000.0,1725.0,1950.0,1137.547607421875,6568000
2008-09-17,2000.0,2000.0,1880.0,2000.0,1166.715576171875,11459000
2008-09-18,2000.0,2000.0,1850.0,2000.0,1166.715576171875,12387000
2008-09-19,2200.0,2200.0,2025.0,2200.0,1283.38720703125,22620000
2008-09-22,2150.0,2300.0,2100.0,2150.0,1254.21923828125,20925500
2008-09-23,2125.0,2325.0,2125.0,2250.0,1312.5548095703125,36374500
2008-09-24,2175.0,2250.0,2125.0,2175.0,1268.80322265625,24192000
2008-09-25,2150.0,2175.0,2100.0,2150.0,1254.21923828125,8279500
2008-09-26,2125.0,2125.0,2050.0,2125.0,1239.6353759765625,5395000
2008-10-06,1900.0,1950.0,1500.0,1650.0,962.5404052734375,7997000
2008-10-07,1530.0,1550.0,1480.0,1530.0,892.53759765625,13114000
2008-10-08,1480.0,1480.0,1130.0,1250.0,729.197265625,2276000
2008-10-09,1250.0,1250.0,1250.0,1250.0,729.197265625,0
2008-10-10,1250.0,1250.0,1250.0,1250.0,729.197265625,0
2008-10-13,1350.0,1350.0,1130.0,1350.0,787.5330200195312,28842000
2008-10-14,1400.0,1480.0,1380.0,1480.0,863.36962890625,43952000
2008-10-15,1430.0,1610.0,1430.0,1610.0,939.2059936523438,14673000
2008-10-16,1450.0,1570.0,1450.0,1560.0,910.0382080078125,13285000
2008-10-17,1630.0,1630.0,1530.0,1630.0,950.8731689453125,17099500
2008-10-20,1700.0,1700.0,1580.0,1700.0,991.7083129882812,12394000
2008-10-21,1720.0,1740.0,1700.0,1720.0,1003.3755493164062,6823000
2008-10-22,1650.0,1780.0,1650.0,1780.0,1038.376953125,11745000
