Date,Open,High,Low,Close,Adj Close,Volume,Price Ratio,Dividends,Adj Open,Adj High,Adj Low,Adj Close 1D Change,Adj Close 1D Log Change,Adj Close 5D Change,Adj Close 5D Log Change,Adj Close 30D Change,Adj Close 30D Log Change,Adj Open 1D Change,Adj Open 1D Log Change,Adj Open 5D Change,Adj Open 5D Log Change,Adj Open 30D Change,Adj Open 30D Log Change,Adj High 1D Change,Adj High 1D Log Change,Adj High 5D Change,Adj High 5D Log Change,Adj High 30D Change,Adj High 30D Log Change,Adj Low 1D Change,Adj Low 1D Log Change,Adj Low 5D Change,Adj Low 5D Log Change,Adj Low 30D Change,Adj Low 30D Log Change,Adj Close 3D SMA,Adj Close 3D EMA,Adj Close 5D SMA,Adj Close 5D EMA,Adj Close 10D SMA,Adj Close 10D EMA,Adj Close 15D SMA,Adj Close 15D EMA,Adj Open 3D SMA,Adj Open 3D EMA,Adj Open 5D SMA,Adj Open 5D EMA,Adj Open 10D SMA,Adj Open 10D EMA,Adj Open 15D SMA,Adj Open 15D EMA,Adj High 3D SMA,Adj High 3D EMA,Adj High 5D SMA,Adj High 5D EMA,Adj High 10D SMA,Adj High 10D EMA,Adj High 15D SMA,Adj High 15D EMA,Adj Low 3D SMA,Adj Low 3D EMA,Adj Low 5D SMA,Adj Low 5D EMA,Adj Low 10D SMA,Adj Low 10D EMA,Adj Low 15D SMA,Adj Low 15D EMA
2021-05-24,159.0,159.0,159.0,159.0,159.0,88600,1.0,,159.0,159.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0,,159.0
2021-05-25,214.0,214.0,214.0,214.0,214.0,3843400,1.0,,214.0,214.0,214.0,34.59119496855345,29.707181280161997,,,,,34.59119496855345,29.707181280161997,,,,,34.59119496855345,29.707181280161997,,,,,34.59119496855345,29.707181280161997,,,,,,195.66666666666666,,192.0,,189.25000000000003,,188.33333333333334,,195.66666666666666,,192.0,,189.25000000000003,,188.33333333333334,,195.66666666666666,,192.0,,189.25000000000003,,188.33333333333334,,195.66666666666666,,192.0,,189.25000000000003,,188.33333333333334
2021-05-27,266.0,266.0,218.0,266.0,266.0,139171200,1.0,,266.0,266.0,218.0,24.29906542056075,21.75202937598476,,,,,24.29906542056075,21.75202937598476,,,,,24.29906542056075,21.75202937598476,,,,,1.869158878504673,1.851904776723753,,,,,213.0,235.85714285714286,,227.05263157894734,,220.10299003322262,,217.74556213017752,213.0,235.85714285714286,,227.05263157894734,,220.10299003322262,,217.74556213017752,213.0,235.85714285714286,,227.05263157894734,,220.10299003322262,,217.74556213017752,213.0,235.85714285714286,,227.05263157894734,,220.10299003322262,,217.74556213017752
2021-05-28,274.0,326.0,248.0,266.0,266.0,117880800,1.0,,274.0,326.0,248.0,0.0,0.0,,,,,3.007518796992481,2.963179760637115,,,,,22.55639097744362,20.340107258500865,,,,,13.761467889908264,12.893368337589322,,,,,248.66666666666666,251.93333333333334,,243.23076923076923,,235.22400990099013,,232.32153392330383,248.66666666666666,251.93333333333334,,243.23076923076923,,235.22400990099013,,232.32153392330383,248.66666666666666,251.93333333333334,,243.23076923076923,,235.22400990099013,,232.32153392330383,248.66666666666666,251.93333333333334,,243.23076923076923,,235.22400990099013,,232.32153392330383
2021-05-31,266.0,266.0,248.0,248.0,248.0,50883900,1.0,,266.0,266.0,248.0,-6.766917293233088,-7.006756261671695,,,,,-2.9197080291970767,-2.9631797606371117,,,,,-18.404907975460127,-20.340107258500865,,,,,0.0,0.0,,,,,260.0,249.90322580645162,230.6,245.06161137440756,,238.89164918334936,,236.34502850698578,260.0,249.90322580645162,230.6,245.06161137440756,,238.89164918334936,,236.34502850698578,260.0,249.90322580645162,230.6,245.06161137440756,,238.89164918334936,,236.34502850698578,260.0,249.90322580645162,230.6,245.06161137440756,,238.89164918334936,,236.34502850698578
2021-06-02,240.0,240.0,232.0,232.0,232.0,49703600,1.0,,240.0,240.0,232.0,-6.451612903225811,-6.669137449867228,45.91194968553458,37.78331694460783,,,-9.774436090225567,-10.285738543970782,50.9433962264151,41.17347211217599,,,-9.774436090225567,-10.285738543970782,50.9433962264151,41.17347211217599,,,-6.451612903225811,-6.669137449867228,45.91194968553458,37.78331694460783,,,248.66666666666666,240.8095238095238,245.2,240.28872180451128,,237.10164984033804,,235.35968026575313,248.66666666666666,240.8095238095238,245.2,240.28872180451128,,237.10164984033804,,235.35968026575313,248.66666666666666,240.8095238095238,245.2,240.28872180451128,,237.10164984033804,,235.35968026575313,248.66666666666666,240.8095238095238,245.2,240.28872180451128,,237.10164984033804,,235.35968026575313
2021-06-03,216.0,216.0,216.0,216.0,216.0,52906900,1.0,,216.0,216.0,216.0,-6.896551724137934,-7.145896398214497,0.9345794392523256,0.930239266231341,,,-9.999999999999998,-10.536051565782628,0.9345794392523256,0.930239266231341,,,-9.999999999999998,-10.536051565782628,0.9345794392523256,0.930239266231341,,,-6.896551724137934,-7.145896398214497,0.9345794392523256,0.930239266231341,,,232.0,228.30708661417322,245.6,231.68916949975718,,232.01699990247687,,231.37492197369838,232.0,228.30708661417322,245.6,231.68916949975718,,232.01699990247687,,231.37492197369838,232.0,228.30708661417322,245.6,231.68916949975718,,232.01699990247687,,231.37492197369838,232.0,228.30708661417322,245.6,231.68916949975718,,232.01699990247687,,231.37492197369838
2021-06-04,202.0,202.0,202.0,202.0,202.0,39296600,1.0,,202.0,202.0,202.0,-6.481481481481477,-6.70107102829602,-24.06015037593985,-27.522861138049432,,,-6.481481481481477,-6.70107102829602,-24.06015037593985,-27.522861138049432,,,-6.481481481481477,-6.70107102829602,-24.06015037593985,-27.522861138049432,,,-6.481481481481477,-6.70107102829602,-7.339449541284404,-7.622736538788426,,,216.66666666666666,215.10196078431372,232.8,221.390959555908,,225.187987764558,,225.7809013735861,216.66666666666666,215.10196078431372,232.8,221.390959555908,,225.187987764558,,225.7809013735861,216.66666666666666,215.10196078431372,232.8,221.390959555908,,225.187987764558,,225.7809013735861,216.66666666666666,215.10196078431372,232.8,221.390959555908,,225.187987764558,,225.7809013735861
2021-06-07,188.0,188.0,188.0,188.0,188.0,24430900,1.0,,188.0,188.0,188.0,-6.930693069306926,-7.18257345712555,-29.32330827067669,-34.70543459517499,,,-6.930693069306926,-7.18257345712555,-31.386861313868607,-37.668614355812096,,,-6.930693069306926,-7.18257345712555,-42.331288343558285,-55.04554185367584,,,-6.930693069306926,-7.18257345712555,-24.193548387096776,-27.698678333503292,,,202.0,201.52446183953035,217.2,209.96338219185228,,217.09718299336626,,219.02796599991598,202.0,201.52446183953035,217.2,209.96338219185228,,217.09718299336626,,219.02796599991598,202.0,201.52446183953035,217.2,209.96338219185228,,217.09718299336626,,219.02796599991598,202.0,201.52446183953035,217.2,209.96338219185228,,217.09718299336626,,219.02796599991598
2021-06-08,188.0,220.0,175.0,189.0,189.0,198397500,1.0,,188.0,220.0,175.0,0.5319148936170137,0.5305052229693098,-23.790322580645164,-27.16817311053398,,,0.0,0.0,-29.32330827067669,-34.70543459517499,,,17.021276595744684,15.718558352241237,-17.29323308270677,-18.98687624293376,,,-6.914893617021278,-7.165598890643516,-29.435483870967737,-34.864277224146804,,,193.0,195.25610948191593,205.4,202.85227057302885,218.0,211.19519648673534,,213.93450508509096,193.0,195.25610948191593,205.4,202.85227057302885,218.0,211.19519648673534,,213.93450508509096,193.0,195.25610948191593,205.4,202.85227057302885,218.0,211.19519648673534,,213.93450508509096,193.0,195.25610948191593,205.4,202.85227057302885,218.0,211.19519648673534,,213.93450508509096
